customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,Yes,31,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,47.5,1486.28,No
CUST-00001,Female,0,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),78.53,1639.76,No
CUST-00002,Male,1,No,No,29,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,55.03,1594.56,Yes
CUST-00003,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.74,4458.43,No
CUST-00004,Male,1,No,No,9,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,90.31,824.71,Yes
CUST-00005,Female,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,76.01,900.89,No
CUST-00006,Male,1,Yes,No,38,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),62.89,2397.06,No
CUST-00007,Male,0,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),72.53,1761.4,No
CUST-00008,Male,1,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.79,332.64,Yes
CUST-00009,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,89.9,4755.24,Yes
CUST-00010,Male,0,Yes,Yes,27,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,60.84,1636.94,Yes
CUST-00011,Male,0,No,No,32,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),60.74,1970.68,No
CUST-00012,Male,1,Yes,Yes,54,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),61.5,3306.35,No
CUST-00013,Male,0,Yes,No,22,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Credit card (automatic),48.13,1056.66,No
CUST-00014,Female,1,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.23,1758.96,No
CUST-00015,Male,1,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.38,849.06,Yes
CUST-00016,Female,0,No,No,53,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),54.39,2857.12,No
CUST-00017,Female,0,No,No,16,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,56.13,900.92,No
CUST-00018,Female,0,No,No,47,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.41,1149.08,No
CUST-00019,Male,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Mailed check,86.04,1209.75,No
CUST-00020,Female,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),72.74,447.22,Yes
CUST-00021,Male,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,85.08,4082.0,No
CUST-00022,Female,0,No,No,19,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,42.33,799.87,No
CUST-00023,Female,0,Yes,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,104.77,No
CUST-00024,Female,0,Yes,Yes,49,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.87,2518.09,No
CUST-00025,Female,0,No,No,29,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,88.71,2581.64,Yes
CUST-00026,Female,1,No,No,19,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,55.11,1018.08,Yes
CUST-00027,Female,0,Yes,No,33,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),81.51,2693.68,No
CUST-00028,Female,1,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,410.24,No
CUST-00029,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.8,1427.8,Yes
CUST-00030,Male,0,No,No,44,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,63.05,2820.1,No
CUST-00031,Male,0,No,No,30,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,82.54,2454.25,No
CUST-00032,Female,0,No,No,13,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,60.43,784.22,No
CUST-00033,Female,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.89,596.82,No
CUST-00034,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),79.19,3433.98,No
CUST-00035,Male,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),86.38,873.19,Yes
CUST-00036,Female,0,Yes,Yes,57,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,58.33,3319.97,No
CUST-00037,Male,0,Yes,No,29,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.02,1493.5,No
CUST-00038,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,484.72,No
CUST-00039,Male,0,Yes,No,28,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),82.91,2307.93,No
CUST-00040,Male,0,Yes,No,72,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,58.85,4225.2,No
CUST-00041,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),26.04,649.01,No
CUST-00042,Female,0,No,No,19,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),46.1,885.93,No
CUST-00043,Female,0,No,No,22,Yes,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),56.72,1217.53,No
CUST-00044,Female,1,No,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.77,4274.35,No
CUST-00045,Female,0,Yes,No,39,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,56.98,2212.03,No
CUST-00046,Female,0,No,No,25,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),87.55,2157.89,No
CUST-00047,Male,0,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,77.0,5566.35,No
CUST-00048,Female,0,Yes,No,37,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),62.71,2304.07,No
CUST-00049,Female,0,Yes,No,12,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,41.9,532.69,Yes
CUST-00050,Male,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),60.55,200.5,No
CUST-00051,Female,0,Yes,Yes,39,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,61.31,2409.39,No
CUST-00052,Male,0,No,No,20,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),56.3,1127.81,No
CUST-00053,Female,0,No,No,6,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,34.63,220.51,No
CUST-00054,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),97.65,2219.07,No
CUST-00055,Female,0,No,Yes,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,733.68,No
CUST-00056,Female,0,Yes,No,22,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,48.89,1085.3,Yes
CUST-00057,Male,0,No,Yes,24,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,79.93,1942.63,No
CUST-00058,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),55.26,144.77,Yes
CUST-00059,Male,0,No,No,40,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,82.91,3310.63,Yes
CUST-00060,Male,0,Yes,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.56,113.77,No
CUST-00061,Male,0,No,No,15,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,79.65,1204.93,No
CUST-00062,Male,0,Yes,No,31,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Two year,No,Electronic check,67.36,2094.35,Yes
CUST-00063,Male,0,Yes,Yes,13,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),59.9,741.79,No
CUST-00064,Male,0,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.88,276.65,No
CUST-00065,Female,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,76.8,2304.27,No
CUST-00066,Female,0,No,No,31,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),47.19,1461.01,No
CUST-00067,Male,0,Yes,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,454.82,No
CUST-00068,Female,0,No,No,2,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.41,148.35,Yes
CUST-00069,Female,1,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.34,112.7,No
CUST-00070,Female,0,No,No,48,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,48.85,2396.17,No
CUST-00071,Female,0,No,No,18,No,No phone service,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),46.68,818.88,No
CUST-00072,Male,1,Yes,No,72,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.87,5322.22,No
CUST-00073,Female,1,Yes,Yes,30,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,87.36,2627.34,No
CUST-00074,Male,1,No,No,72,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,62.59,4522.89,No
CUST-00075,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,77.12,1629.81,No
CUST-00076,Female,0,No,Yes,17,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),71.82,1229.3,No
CUST-00077,Female,0,No,Yes,40,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,No,Electronic check,77.53,3107.37,No
CUST-00078,Male,0,Yes,Yes,55,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),73.66,4062.24,No
CUST-00079,Female,0,No,No,22,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.74,2004.0,No
CUST-00080,Male,0,Yes,No,39,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Mailed check,65.4,2559.82,No
CUST-00081,Female,0,No,No,5,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),47.66,248.7,No
CUST-00082,Male,0,Yes,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),85.15,1008.24,No
CUST-00083,Female,1,No,No,34,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,48.69,1661.02,No
CUST-00084,Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,294.54,No
CUST-00085,Male,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,68.37,2100.95,No
CUST-00086,Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,80.37,2715.28,Yes
CUST-00087,Male,0,No,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,677.27,No
CUST-00088,Female,0,No,No,47,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),49.9,2341.67,No
CUST-00089,Female,0,Yes,No,48,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Mailed check,85.04,4078.68,No
CUST-00090,Female,1,No,Yes,9,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),77.8,703.39,Yes
CUST-00091,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,23.87,521.77,No
CUST-00092,Female,0,Yes,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.06,430.51,No
CUST-00093,Female,0,Yes,Yes,24,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,92.74,2213.7,No
CUST-00094,Female,0,No,No,20,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,64.74,1272.33,No
CUST-00095,Female,0,No,No,25,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),62.44,1527.85,No
CUST-00096,Female,0,No,Yes,15,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,51.53,761.94,Yes
CUST-00097,Female,0,No,Yes,45,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),82.46,3700.18,No
